# Wavelength Transmittance 
# Filter Q 
# lambda eff:20.9mu
# (um)               (%) 
3.4988001E-03        2.9129040E+00
1.4656310E+00        5.0999999E-05
2.6624000E-03        2.9137530E+00
1.4658459E+00        6.4799999E-05
2.0001000E-03        2.9146020E+00
1.4660610E+00        6.2200001E-05
1.6177000E-03        2.9154520E+00
1.4662760E+00        4.2399999E-05
1.6684000E-03        2.9163020E+00
1.4664910E+00        1.2600000E-05
2.2306000E-03        2.9171529E+00
1.4667060E+00        -1.8100000E-05
3.0274000E-03        2.9180040E+00
1.4669210E+00        -4.1200001E-05
3.4944999E-03        2.9188559E+00
1.4671360E+00        -5.0499995E-05
3.3535999E-03        2.9197080E+00
1.4673510E+00        -3.9300001E-05
3.0675000E-03        2.9205611E+00
1.4675670E+00        -7.6000001E-06
3.4656997E-03        2.9214139E+00
1.4677820E+00        3.9600000E-05
4.7617001E-03        2.9222679E+00
1.4679980E+00        8.8900000E-05
6.0808999E-03        2.9231219E+00
1.4682130E+00        1.2800000E-04
6.1444999E-03        2.9239769E+00
1.4684290E+00        1.4710000E-04
4.4261999E-03        2.9248321E+00
1.4686440E+00        1.4759999E-04
1.6208000E-03        2.9256880E+00
1.4688600E+00        1.3710000E-04
-1.0157001E-03       2.9265440E+00
1.4690760E+00        1.2659999E-04
-2.6802998E-03       2.9274001E+00
1.4692920E+00        1.2679999E-04
-3.3630999E-03       2.9282579E+00
1.4695081E+00        1.4000000E-04
-3.3755000E-03       2.9291151E+00
1.4697241E+00        1.5450000E-04
-2.7961999E-03       2.9299741E+00
1.4699399E+00        1.5450000E-04
-1.5581000E-03       2.9308319E+00
1.4701560E+00        1.3209999E-04
1.1420000E-04        2.9316919E+00
1.4703720E+00        9.4199997E-05
1.5418000E-03        2.9325509E+00
1.4705880E+00        6.1499995E-05
2.0377999E-03        2.9334121E+00
1.4708050E+00        5.1699997E-05
1.4935000E-03        2.9342721E+00
1.4710211E+00        6.5100001E-05
5.0119997E-04        2.9351330E+00
1.4712369E+00        8.7499997E-05
-1.1250001E-04       2.9359951E+00
1.4714540E+00        1.0250000E-04
1.2040000E-04        2.9368570E+00
1.4716700E+00        1.0250000E-04
1.0984000E-03        2.9377201E+00
1.4718870E+00        9.0599999E-05
2.3824999E-03        2.9385841E+00
1.4721040E+00        7.3699994E-05
3.5116998E-03        2.9394469E+00
1.4723200E+00        5.5299999E-05
4.1387002E-03        2.9403119E+00
1.4725370E+00        3.3599998E-05
4.0909997E-03        2.9411759E+00
1.4727540E+00        8.2999995E-06
3.4095999E-03        2.9420421E+00
1.4729710E+00        -1.7199998E-05
2.3699000E-03        2.9429080E+00
1.4731880E+00        -3.9300001E-05
1.3375001E-03        2.9437740E+00
1.4734050E+00        -5.8400001E-05
5.5770000E-04        2.9446411E+00
1.4736220E+00        -7.8199999E-05
6.8699999E-05        2.9455080E+00
1.4738390E+00        -9.5399999E-05
-2.0910001E-04       2.9463761E+00
1.4740570E+00        -9.8700002E-05
-3.1229999E-04       2.9472439E+00
1.4742740E+00        -7.7199998E-05
-2.0889999E-04       2.9481130E+00
1.4744910E+00        -3.4099998E-05
1.0180000E-04        2.9489830E+00
1.4747090E+00        1.0499999E-05
4.8540000E-04        2.9498520E+00
1.4749260E+00        3.5300000E-05
7.0500001E-04        2.9507229E+00
1.4751440E+00        3.6199999E-05
5.7290000E-04        2.9515941E+00
1.4753610E+00        2.8400000E-05
6.0999999E-05        2.9524651E+00
1.4755790E+00        3.3599998E-05
-6.7849999E-04       2.9533370E+00
1.4757971E+00        5.9399998E-05
-1.4458001E-03       2.9542100E+00
1.4760150E+00        9.7299999E-05
-2.1569999E-03       2.9550829E+00
1.4762330E+00        1.2760000E-04
-2.8359999E-03       2.9559560E+00
1.4764510E+00        1.3759999E-04
-3.3875001E-03       2.9568300E+00
1.4766690E+00        1.2710001E-04
-3.4431999E-03       2.9577050E+00
1.4768870E+00        1.0700000E-04
-2.5598998E-03       2.9585800E+00
1.4771050E+00        8.9399997E-05
-6.6990004E-04       2.9594550E+00
1.4773231E+00        8.2699997E-05
1.6334000E-03        2.9603310E+00
1.4775410E+00        8.9399997E-05
3.3673998E-03        2.9612081E+00
1.4777600E+00        1.0940000E-04
3.8306999E-03        2.9620850E+00
1.4779780E+00        1.3829999E-04
3.0652999E-03        2.9629631E+00
1.4781970E+00        1.6550001E-04
1.7196999E-03        2.9638410E+00
1.4784150E+00        1.7689999E-04
5.3359999E-04        2.9647200E+00
1.4786340E+00        1.6470000E-04
-8.1300001E-05       2.9655991E+00
1.4788520E+00        1.2970000E-04
-1.5070000E-04       2.9664791E+00
1.4790710E+00        8.4899999E-05
-2.6000000E-06       2.9673591E+00
1.4792900E+00        4.3900000E-05
2.0500000E-05        2.9682400E+00
1.4795090E+00        1.7400000E-05
-1.8789999E-04       2.9691210E+00
1.4797280E+00        7.3999995E-06
-4.3609997E-04       2.9700029E+00
1.4799470E+00        1.4799999E-05
-4.5249998E-04       2.9708850E+00
1.4801660E+00        3.5800000E-05
-1.8710000E-04       2.9717679E+00
1.4803849E+00        6.3699998E-05
9.1099995E-05        2.9726520E+00
